ID,Name
1,Fruits Basket the Final Season
2,Fullmetal Alchemist: Brotherhood
3,Attack on Titan 3rd Season: Part II
4,Jujutsu Kaisen
5,Attack on Titan The Final Season
6,Demon Slayer: Kimetsu no Yaiba
7,Hunter x Hunter (2011)
8,Given
9,Mo Dao Zu Shi 2
10,Link Click
11,Mob Psycho 100 II
12,Fruits Basket 2nd Season
13,The Promised Neverland
14,That Time I Got Reincarnated as a Slime Season 2: Part II
15,Heaven Official's Blessing
16,Mushoku Tensei: Jobless Reincarnation - Part II
17,Clannad After Story
18,Mo Dao Zu Shi
19,Banana Fish
20,Attack on Titan 3rd Season
21,Steins;Gate
22,One-Punch Man
23,JoJo's Bizarre Adventure: Golden Wind
24,Vinland Saga
25,My Hero Academia 3
26,Violet Evergarden
27,That Time I Got Reincarnated as a Slime
28,My Hero Academia 2
29,SK8 the Infinity
30,Code Geass: Lelouch of the Rebellion
31,JoJo’s Bizarre Adventure: Stardust Crusaders - Battle in Egypt
32,Yona of the Dawn: Zeno Arc
33,JoJo's Bizarre Adventure: Diamond is Unbreakable
34,Attack on Titan
35,March Comes in like a Lion 2nd Season
36,Attack on Titan 2nd Season
37,Attack on Titan: No Regrets
38,Cowboy Bebop
39,Monogatari Series: Second Season
40,Castlevania Season 4
41,ERASED
42,The Rising of the Shield Hero
43,To Your Eternity
44,Made in Abyss
45,Rurouni Kenshin: Tsuiokuhen
46,Fruits Basket 1st Season
47,My Hero Academia 4
48,Great Teacher Onizuka
49,Your lie in April
50,Bungo Stray Dogs 3rd Season
51,Mob Psycho 100
52,Odd Taxi
53,Moriarty the Patriot 2nd Season
54,Tokyo Revengers
55,Fate/Zero 2
56,My Hero Academia
57,Dororo (2019)
58,Hellsing Ultimate
59,Parasyte -the maxim-
60,Noragami Aragoto
61,Re:ZERO -Starting Life in Another World- Season 2
62,Steins;Gate 0
63,Golden Kamuy Season 3
64,Douluo Dalu
65,Bungo Stray Dogs 2nd Season
66,Tengen Toppa Gurren Lagann
67,Mushoku Tensei: Jobless Reincarnation
68,JoJo's Bizarre Adventure: Stardust Crusaders
69,Legend of the Galactic Heroes
70,Fate/stay night: Unlimited Blade Works 2
71,Hunter x Hunter OVA 3: Greed Island Final
72,Black Butler: Book of Circus
73,Toilet-Bound Hanako-kun
74,Samurai Champloo
75,Black Lagoon: The Second Barrage
76,Overlord
77,The Ancient Magus' Bride
78,Monster
79,Fullmetal Alchemist
80,Hunter x Hunter
81,Great Pretender
82,Fate/stay night: Unlimited Blade Works
