Studio_ID,Studio
1,TMS Entertainment
2,Bones
3,WIT Studio
4,MAPPA
4,MAPPA
5,ufotable
6,MADHOUSE
7,Lerche
8,B.C MAY PICTURES
9,Studio LAN
2,Bones
10,8 Pan
11,CloverWorks
12,8-Bit
13,Haoliners Animation League
14,Studio Bind
15,Kyoto Animation
8,B.C MAY PICTURES
4,MAPPA
3,WIT Studio
16,WHITE FOX
6,MADHOUSE
17,David Production
3,WIT Studio
2,Bones
15,Kyoto Animation
12,8-Bit
2,Bones
2,Bones
18,Sunrise
17,David Production
19,Pierrot
17,David Production
3,WIT Studio
20,SHAFT
3,WIT Studio
3,WIT Studio
18,Sunrise
20,SHAFT
21,Tiger Animation
22,A-1 Pictures
23,Kinema Citrus
24,Brain's Base
23,Kinema Citrus
25,Studio DEEN
1,TMS Entertainment
2,Bones
19,Pierrot
22,A-1 Pictures
2,Bones
2,Bones
26,P.I.C.S.
27,Production I.G
28,LIDEN FILMS
5,ufotable
2,Bones
4,MAPPA
29,Graphinica
6,MADHOUSE
2,Bones
16,WHITE FOX
16,WHITE FOX
30,Geno Studio
31,Sparkly Key Animation Studio
2,Bones
32,GAINAX
14,Studio Bind
17,David Production
33,Magic Bus
5,ufotable
34,Nippon Animation
22,A-1 Pictures
7,Lerche
35,Manglobe
6,MADHOUSE
6,MADHOUSE
3,WIT Studio
6,MADHOUSE
2,Bones
34,Nippon Animation
3,WIT Studio
5,ufotable
6,MADHOUSE
34,Nippon Animation
36,Mua Film
24,Brain's Base
16,WHITE FOX
30,Geno Studio
25,Studio DEEN
22,A-1 Pictures
18,Sunrise
3,WIT Studio
27,Production I.G
5,ufotable
6,MADHOUSE
25,Studio DEEN
27,Production I.G
25,Studio DEEN
6,MADHOUSE
37,NUT
2,Bones
22,A-1 Pictures
6,MADHOUSE
17,David Production
19,Pierrot
2,Bones
36,Mua Film
20,SHAFT
22,A-1 Pictures
6,MADHOUSE
19,Pierrot
19,Pierrot
16,WHITE FOX
38,Lay-duce
39,Seven Arcs
6,MADHOUSE
24,Brain's Base
20,SHAFT
4,MAPPA
1,TMS Entertainment
22,A-1 Pictures
40,Shuka
41,OLM
40,Shuka
12,8-Bit
4,MAPPA
6,MADHOUSE
2,Bones
2,Bones
42,GONZO
43,J.C.Staff
17,David Production
16,WHITE FOX
40,Shuka
44,Toei Animation
45,Hoods Entertainment
36,Mua Film
25,Studio DEEN
20,SHAFT
22,A-1 Pictures
46,A.C.G.T
6,MADHOUSE
47,SATELIGHT
48,C2C
17,David Production
27,Production I.G
49,Liudao Wuyu Animation Studio
27,Production I.G
11,CloverWorks
34,Nippon Animation
50,Pili International Multimedia
11,CloverWorks
11,CloverWorks
1,TMS Entertainment
25,Studio DEEN
51,Telecom Animation Film
22,A-1 Pictures
2,Bones
44,Toei Animation
2,Bones
3,WIT Studio
52,Artland
22,A-1 Pictures
25,Studio DEEN
22,A-1 Pictures
22,A-1 Pictures
12,8-Bit
16,WHITE FOX
53,TNK
3,WIT Studio
18,Sunrise
2,Bones
6,MADHOUSE
32,GAINAX
51,Telecom Animation Film
54,Orange
16,WHITE FOX
1,TMS Entertainment
44,Toei Animation
55,GoHands
56,BEE TRAIN
57,SILVER LINK.
53,TNK
43,J.C.Staff
2,Bones
25,Studio DEEN
3,WIT Studio
1,TMS Entertainment
18,Sunrise
22,A-1 Pictures
58,TRIGGER
16,WHITE FOX
59,Studio Palette
60,Millepensee
30,Geno Studio
22,A-1 Pictures
61,LARX Entertainment
62,V1 Studio
63,Studio Mir
44,Toei Animation
19,Pierrot
40,Shuka
55,GoHands
45,Hoods Entertainment
3,WIT Studio
64,Bridge
22,A-1 Pictures
65,ARMS
2,Bones
66,POLYGON PICTURES
67,A.P.P.P.
42,GONZO
17,David Production
20,SHAFT
27,Production I.G
66,POLYGON PICTURES
68,XEBEC
57,SILVER LINK.
69,Gallop
70,Synergy SP
71,Ajia-do
22,A-1 Pictures
72,asread
34,Nippon Animation
73,AIC
74,P.A. WORKS
