ID,Studio_ID
1,2
2,3
3,4
4,5
5,6
6,6
7,7
8,7
9,1
10,9
11,7
12,11
13,12
14,13
15,14
16,3
17,16
18,4
19,7
20,17
21,18
22,12
23,11
24,20
25,15
26,10
27,3
28,14
29,6
30,21
31,15
32,15
33,5
34,22
35,7
36,14
37,9
38,15
39,23
40,24
41,24
42,5
43,25
44,13
45,23
46,4
47,10
48,12
49,4
50,4
51,9
52,14
53,24
54,27
55,24
56,2
57,9
58,28
59,5
60,7
61,29
62,15
63,30
64,25
65,5
66,28
67,7
68,17
69,5
70,18
71,14
72,33
73,30
74,34
75,29
76,35
77,25
78,9
79,35
80,36
81,36
82,3
83,25
84,2
85,17
86,4
87,27
88,29
89,4
90,2
91,4
92,7
93,37
94,9
95,7
96,40
97,39
98,41
99,1
100,4
101,6
102,42
103,6
104,7
105,33
106,33
107,13
108,10
109,43
110,9
111,22
112,44
113,46
114,9
115,4
116,33
117,7
118,35
119,4
120,9
121,22
122,47
123,2
124,48
125,22
126,49
127,42
128,25
129,21
130,50
131,4
132,28
133,33
134,53
135,2
136,7
137,29
138,33
139,20
140,4
141,24
142,25
143,9
144,9
145,54
146,55
147,29
148,33
149,29
150,15
151,1
152,56
153,7
154,27
155,33
156,29
157,57
158,29
159,9
160,7
161,33
162,25
163,29
164,29
165,27
166,13
167,57
168,59
169,60
170,7
171,36
172,9
173,9
174,62
175,50
176,63
177,18
178,27
179,14
180,15
181,52
182,50
183,9
184,42
185,7
186,5
187,56
188,9
189,4
190,6
191,13
192,56
193,65
194,9
195,52
196,15
197,5
198,1
199,48
200,5
201,36
202,9
203,66
204,52
205,14
206,50
207,33
208,56
209,67
210,2
211,2
212,68
213,42
214,25
215,9
216,22
217,69
218,49
219,30
220,29
221,14
222,36
223,25
224,29
225,33
226,70
227,33
228,7
229,14
230,5
231,7
232,1
233,7
234,71
235,9
236,38
237,36
238,47
239,7
240,36
241,29
242,10
243,9
244,45
245,11
246,36
247,33
248,29
249,4
250,29
251,9
252,7
253,24
254,50
255,33
256,27
257,21
258,51
259,4
260,68
261,30
262,73
263,74
264,39
265,9
266,75
267,76
268,44
269,77
270,29
271,9
272,50
273,29
274,78
275,79
276,33
277,9
278,7
279,81
280,82
281,25
282,36
283,10
284,13
285,13
286,42
287,4
288,27
289,9
290,14
291,2
292,84
293,36
294,7
295,27
296,22
297,10
298,85
299,50
300,86
301,62
302,87
303,10
304,88
305,90
306,91
307,29
308,9
309,25
310,88
311,7
312,92
313,30
314,6
315,93
316,94
317,2
318,27
319,39
320,9
321,29
322,33
323,95
324,6
325,23
326,36
327,65
328,23
329,4
330,12
331,14
332,16
333,96
334,29
335,67
336,6
337,33
338,14
339,13
340,36
341,9
342,4
343,60
344,36
345,33
346,21
347,36
348,7
349,27
350,4
351,81
352,74
353,98
354,33
355,24
356,59
357,22
358,23
359,39
360,69
361,9
362,99
363,87
364,68
365,36
366,36
367,30
368,33
369,29
370,36
371,4
372,4
373,10
374,39
375,3
376,62
377,101
378,33
379,9
380,33
381,42
382,13
383,102
384,9
385,71
386,14
387,15
388,30
389,33
390,60
391,94
392,4
393,25
394,7
395,9
396,70
397,4
398,85
399,104
400,4
401,88
402,24
403,7
404,59
405,38
406,17
407,29
408,105
409,106
410,72
411,10
412,29
413,107
414,42
415,4
416,108
417,109
418,108
419,110
420,76
421,14
422,39
423,7
424,7
425,33
426,12
427,39
428,94
429,18
430,56
431,9
432,111
433,18
434,28
435,18
436,112
437,2
438,102
439,14
440,36
441,96
442,29
443,51
444,4
445,39
446,76
447,5
448,77
449,57
450,39
451,4
452,36
453,25
454,14
455,29
456,5
457,79
458,25
459,28
460,29
461,76
462,22
463,78
464,76
465,115
466,36
467,59
468,10
469,27
470,43
471,14
472,78
473,7
474,109
475,29
476,39
477,6
478,62
479,39
480,85
481,29
482,33
483,51
484,12
485,98
486,29
487,41
488,12
489,29
490,22
491,59
492,116
493,36
494,7
495,5
496,14
497,25
498,4
499,117
500,73
501,9
502,11
503,53
504,96
505,21
506,108
507,118
508,119
509,40
510,77
511,22
512,2
513,39
514,47
515,51
516,89
517,121
518,10
519,4
520,122
521,59
522,89
523,6
524,4
525,99
526,27
527,116
528,33
529,22
530,123
531,4
532,10
533,36
534,27
535,52
536,17
537,76
538,30
539,88
540,111
541,38
542,5
543,36
544,10
545,96
546,2
547,14
548,100
549,2
550,125
551,29
552,100
553,22
554,113
555,9
556,69
557,33
558,11
559,33
560,14
561,59
562,47
563,126
564,7
565,85
566,36
567,9
568,127
569,14
570,28
571,49
572,65
573,29
574,29
575,128
576,83
577,2
578,129
579,62
580,13
581,79
582,39
583,4
584,105
585,36
586,130
587,27
588,76
589,131
590,14
591,30
592,47
593,10
594,18
595,120
596,36
597,21
598,36
599,78
600,39
601,106
602,102
603,78
604,23
605,134
606,121
607,99
608,14
609,4
610,5
611,135
612,109
613,36
614,136
615,33
616,36
617,14
618,52
619,33
620,29
621,9
622,9
623,10
624,29
625,137
626,10
627,4
628,76
629,138
630,61
631,38
632,79
633,30
634,139
635,60
636,33
637,98
638,24
639,33
640,30
641,7
642,40
643,36
644,138
645,75
646,29
647,102
648,90
649,59
650,74
651,79
652,50
653,47
654,33
655,29
656,29
657,9
658,7
659,76
660,141
661,36
662,51
663,56
664,131
665,140
666,65
667,142
668,27
669,143
670,121
671,65
672,51
673,36
674,113
675,59
676,9
677,33
678,6
679,144
680,10
681,33
682,74
683,15
684,9
685,100
686,11
687,27
688,17
689,36
690,145
691,59
692,36
693,146
694,76
695,59
696,60
697,27
698,73
699,29
700,76
701,30
702,18
703,107
704,33
705,2
706,143
707,14
708,101
709,102
710,100
711,120
712,33
713,21
714,41
715,14
716,36
717,73
718,25
719,38
720,27
721,79
722,76
723,85
724,9
725,30
726,33
727,134
728,30
729,119
730,78
731,9
732,9
733,148
734,120
735,33
736,57
737,33
738,121
739,9
740,109
741,36
742,98
743,94
744,149
745,75
746,30
747,27
748,101
749,9
750,56
751,108
752,33
753,12
754,78
755,69
756,36
757,6
758,10
759,137
760,150
761,78
762,45
763,38
764,106
765,151
766,152
767,137
768,30
769,98
770,6
771,40
772,109
773,108
774,29
775,53
776,13
777,76
778,29
779,75
780,30
781,30
782,75
783,14
784,7
785,36
786,153
787,39
788,9
789,154
790,41
791,156
792,36
793,40
794,33
795,36
796,108
797,158
798,59
799,160
800,101
801,14
802,29
803,24
804,143
805,14
806,33
807,36
808,112
809,30
810,4
811,116
812,27
813,25
814,60
815,69
816,96
817,76
818,14
819,75
820,38
821,98
822,75
823,73
824,2
825,39
826,14
827,12
828,98
829,6
830,109
831,36
832,36
833,85
834,38
835,119
836,21
837,147
838,118
839,162
840,71
841,36
842,14
843,147
844,38
845,10
846,13
847,7
848,38
849,29
850,4
851,163
852,88
853,10
854,164
855,10
856,7
857,122
858,75
859,62
860,35
861,78
862,33
863,36
864,152
865,14
866,33
867,74
868,11
869,14
870,17
871,38
872,30
873,36
874,80
875,113
876,169
877,135
878,73
879,90
880,2
881,4
882,6
883,60
884,147
885,89
886,7
887,98
888,138
889,47
890,33
891,9
892,98
893,120
894,9
895,33
896,76
897,2
898,85
899,171
900,9
901,13
902,13
903,29
904,172
905,65
906,147
907,128
908,173
909,174
910,151
911,151
912,175
913,166
914,56
915,12
916,22
917,42
918,125
919,51
920,29
921,4
922,116
923,176
924,14
925,29
926,121
927,29
928,14
929,115
930,14
931,33
932,149
933,21
934,177
935,10
936,33
937,36
938,85
939,135
940,38
941,38
942,90
943,12
944,141
945,17
946,79
